step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-0.32314735814355144,0.12360113114118576,0.41379374265670776,0.3909553289413452,0.11116952449083328,0.35,5,0,0,0,0.44257140159606934,8.851428031921387,177.028564453125,0.5027194619178772,1.0,0.24544781711868352,0,0,0,0,0.24544781711868352,0.0,filtered,0.06911083043403243,0,0,12,joint_2_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24544781711868352,0.415353998|0.43035399|0.361426231|0.262773701|0.267134122|0.245447817,0.535353998|0.55035399|0.481426231|0.382773701|0.387134122|0.365447817,0.535353998|0.55035399|0.481426231|0.382773701|0.387134122|0.365447817,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0319564981|0.0975525961|0.103175279|0.100607147,1.66141599|1.72141596|1.47766142|1.1486474|1.17171177|1.08239842,0.286016762|0.58531934|0.362402916,-0.00612726202|-0.228733748|0.0401490666,0.002430797554552555
1,0.1,-0.1407839085954049,0.10214226692914963,0.39808428287506104,0.3896270990371704,0.09554824978113174,0.35,5,0,0,0,0.7578853368759155,6.6855998039245605,80.83063507080078,0.7578847408294678,1.0,0.24050391698584989,0,0,0,0,0.24544781711868352,0.0,filtered,1.1888366953553782e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.24050391698584989,0.406832711|0.421832708|0.35226957|0.256461966|0.261518892|0.240503917,0.526832711|0.541832708|0.47226957|0.376461966|0.381518892|0.360503917,0.526832711|0.541832708|0.47226957|0.376461966|0.381518892|0.360503917,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0585388291|0.173837604|0.184819673|0.170815868,1.62733084|1.68733083|1.46761711|1.19968547|1.23089524|1.13283154,0.285710275|0.573882401|0.364410281,-0.00612726202|-0.228733748|0.0401490666,0.0018270863220095634
2,0.15000000000000002,-0.04918481505457862,0.09492965042591095,0.3794628381729126,0.38983747363090515,0.09121247380971909,0.35,5,0,0,0,0.9093826413154602,3.817169427871704,82.13024139404297,0.9093826413154602,1.0,0.23908375230979728,0,0,0,0,0.24544781711868352,0.0,passthrough,4.5898285194570344e-12,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.23908375230979728,0.398405362|0.41340533|0.344486628|0.253876522|0.259968499|0.239083752,0.518405362|0.53340533|0.464486628|0.373876522|0.379968499|0.359083752,0.518405362|0.53340533|0.464486628|0.373876522|0.379968499|0.359083752,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0720581164|0.204401354|0.218414003|0.202417154,1.59362145|1.65362132|1.45000463|1.21990744|1.258288|1.15875216,0.285403788|0.562445462|0.366417646,-0.00612726202|-0.228733748|0.0401490666,0.0018552029505372047
3,0.2,-0.052750249504160324,0.09638376533985138,0.3623146712779999,0.3884563744068146,0.09248358011245728,0.35,5,0,0,0,0.9134764671325684,4.989635467529297,100.70059967041016,0.911927342414856,1.0,0.23911563863986107,0,0,0,0,0.24544781711868352,0.0,filtered,0.015081483126908157,0,0,12,joint_2_acceleration_upper,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.23911563863986107,0.390075577|0.405075577|0.337472378|0.252702345|0.260013506|0.239115639,0.510075577|0.525075577|0.457472378|0.372702345|0.380013506|0.359115639,0.510075577|0.525075577|0.457472378|0.372702345|0.380013506|0.359115639,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0753161658|0.17733267|0.186684784|0.17284526,1.56030231|1.62030231|1.42520568|1.18814205|1.22673881|1.12930781,0.285097301|0.551008523|0.368425012,-0.00612726202|-0.228733748|0.0401490666,0.0018564555794000626
4,0.25,-0.06326439279736355,0.10916507244110107,0.34636542201042175,0.3843034505844116,0.09379175305366516,0.35,5,0,0,0,0.9017663598060608,3.5324153900146484,45.78428649902344,0.9017657041549683,1.0,0.23750812274089078,0,0,0,0,0.24544781711868352,0.0,filtered,1.0332093642857548e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.23750812274089078,0.381847125|0.396847125|0.330734673|0.250127027|0.258405994|0.237508123,0.501847125|0.516847125|0.450734673|0.370127027|0.378405994|0.357508123,0.501847125|0.516847125|0.450734673|0.370127027|0.378405994|0.357508123,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0742527806|0.135501012|0.136491573|0.119032383,1.5273885|1.5873885|1.39719147|1.13600912|1.17011555|1.06906487,0.284790814|0.539571583|0.370432377,-0.00612726202|-0.228733748|0.0401490666,0.0027289651334285736
5,0.30000000000000004,-0.05931304704583916,0.15339593589305878,0.329075425863266,0.3776095509529114,0.13591748476028442,0.35,5,0,0,0,0.8685519695281982,2.3574771881103516,82.32380676269531,0.8685517311096191,1.0,0.2331160611878238,0,0,0,0,0.24544781711868352,0.0,filtered,4.719196936995778e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.2331160611878238,0.373723922|0.388723922|0.324107724|0.245485234|0.254282275|0.233116061,0.493723922|0.508723922|0.444107724|0.365485234|0.374282275|0.353116061,0.493723922|0.508723922|0.444107724|0.365485234|0.374282275|0.353116061,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.072794487|0.104974707|0.0990320686|0.0690795187,1.49489569|1.55489569|1.36922538|1.08691564|1.11616117|1.00154376,0.284484327|0.528134644|0.372439742,-0.00612726202|-0.228733748|0.0401490666,0.0029981760308146477
6,0.35000000000000003,-0.07353290339862839,0.22600720822811127,0.3098491430282593,0.3673490881919861,0.20684859156608582,0.35,5,0,0,0,0.8620800971984863,3.9822144508361816,46.2874755859375,0.8620795607566833,1.0,0.2262066274781353,0,0,0,0,0.24544781711868352,0.0,filtered,8.534597630655429e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.2262066274781353,0.365710035|0.380710035|0.317600656|0.239397478|0.248341136|0.226206627,0.485710035|0.500710035|0.437600656|0.359397478|0.368341136|0.346206627,0.485710035|0.500710035|0.437600656|0.359397478|0.368341136|0.346206627,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0725791532|0.0672369974|0.0520108978|-0.00227275399,1.46284014|1.52284014|1.34298178|1.02482691|1.04537544|0.902553756,0.28417784|0.516697705|0.374447107,-0.00612726202|-0.228733748|0.0401490666,0.0030868975445628166
7,0.4,-0.022504821232690292,0.26188018918037415,0.28730133175849915,0.35555437207221985,0.24066047370433807,0.35,5,0,0,0,0.8831424117088318,3.743159532546997,70.432373046875,0.8831415772438049,1.0,0.21577222394611772,0,0,0,0,0.24544781711868352,0.0,filtered,1.3407984509449436e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.21577222394611772,0.357809683|0.372809677|0.311311331|0.231577962|0.240187552|0.215772224,0.477809683|0.492809677|0.431311331|0.351577962|0.360187552|0.335772224,0.477809683|0.492809677|0.431311331|0.351577962|0.360187552|0.335772224,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.075098722|0.0530540702|0.0335357942|-0.0337849746,1.43123873|1.49123871|1.32034405|0.979365918|0.994286002|0.829303921,0.283871353|0.505260766|0.376454473,-0.00612726202|-0.228733748|0.0401490666,0.002906670793890953
8,0.45,0.04461146840303504,0.2724273204803467,0.26194700598716736,0.3438549339771271,0.24902062118053436,0.35,5,0,0,0,0.9139611721038818,4.589778900146484,61.718318939208984,0.9139603972434998,1.0,0.2038693981704609,0,0,0,0,0.24544781711868352,0.0,filtered,1.3164235123763604e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.2038693981704609,0.350027398|0.365027398|0.305375365|0.223267226|0.231318631|0.203869398,0.470027398|0.485027398|0.425375365|0.343267226|0.351318631|0.323869398,0.470027398|0.485027398|0.425375365|0.343267226|0.351318631|0.323869398,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0792616934|0.0539574075|0.0333943915|-0.0329983123,1.40010959|1.46010959|1.30076315|0.947026313|0.958668914|0.78247928,0.283564866|0.493824035|0.378461838,-0.00612726202|-0.228733748|0.0401490666,0.0029755495488643646
9,0.5,0.14796827669378643,0.24892374873161316,0.23370711505413055,0.33412015438079834,0.22363130748271942,0.35,5,0,0,0,0.98759925365448,4.677584648132324,29.100954055786133,0.9875985980033875,1.0,0.19215336584683285,0,0,0,0,0.24544781711868352,0.0,filtered,1.1289804545348718e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.19215336584683285,0.342367662|0.357367662|0.299867278|0.215260322|0.222690846|0.192153366,0.462367662|0.477367662|0.419867278|0.335260322|0.342690846|0.312153366,0.462367662|0.477367662|0.419867278|0.335260322|0.342690846|0.312153366,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0841689587|0.0795218053|0.062660047|0.00492081932,1.36947065|1.42947065|1.28363807|0.940563093|0.953423433|0.773534283,0.283258379|0.482387453|0.380469203,-0.00612726202|-0.228733748|0.0401490666,0.0029915496706962585
