step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-0.4229099666722875,0.25067436695098877,0.26599958539009094,0.3384378254413605,0.2117576003074646,0.35,3,0,0,0,0.45418664813041687,9.083732604980469,181.67465209960938,0.529319703578949,1.0,0.17982698809210984,0,0,0,0,0.17982698809210984,0.0,filtered,0.08130052650666358,0,0,12,joint_2_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.17982698809210984,0.519081325|0.534081325|0.343582323|0.179826988|0.181826988|0.185332319,0.639081325|0.654081325|0.463582323|0.299826988|0.301826988|0.305332319,0.639081325|0.654081325|0.463582323|0.299826988|0.301826988|0.305332319,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0236986354|0.147104314|0.147104314|0.181663418,-0.247765445|0|-0.271751181|-0.313395933|-0.313395933|-0.303494206,1.82855985|2.1363253|1.07887947|0.553016334|0.561016334|0.619498488,0.376867622|0.559579551|0.558456898,0.0108232368|-0.31032148|-0.0857968479,0.15572140645235777
1,0.1,-0.4192138056008801,0.2211311161518097,0.26870375871658325,0.33577588200569153,0.21050870418548584,0.35,3,0,0,0,0.7832980751991272,7.074001312255859,88.74470520019531,0.7832972407341003,1.0,0.17134990244683812,0,0,0,0,0.17982698809210984,0.0,filtered,1.2548965544927536e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.17134990244683812,0.506761545|0.521761543|0.329082075|0.171349902|0.173392547|0.17902006,0.626761545|0.641761543|0.449082075|0.291349902|0.293392547|0.29902006,0.626761545|0.641761543|0.449082075|0.291349902|0.293392547|0.29902006,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0440090822|0.259859186|0.264551372|0.309327693,-0.244997129|0|-0.270259514|-0.313640654|-0.312636877|-0.300811446,1.78204905|2.08704617|1.00205971|0.631618141|0.645484681|0.724596488,0.377408713|0.544063509|0.554166794,0.0108232368|-0.31032148|-0.0857968479,0.003411480225622654
2,0.15000000000000002,-0.4735338396253258,0.23003672063350677,0.2737496793270111,0.33485767245292664,0.21793727576732635,0.35,3,0,0,0,0.920587956905365,5.284670352935791,115.57572174072266,0.9249727129936218,1.0,0.16841474944092066,0,0,0,0,0.17982698809210984,0.0,filtered,0.117046549266184,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16841474944092066,0.494583526|0.509583526|0.313585745|0.168414749|0.171197496|0.179610017,0.614583526|0.629583526|0.433585745|0.288414749|0.291197496|0.299610017,0.614583526|0.629583526|0.433585745|0.288414749|0.291197496|0.299610017,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0444153464|0.296837769|0.319780165|0.348442989,-0.242093808|0|-0.269922595|-0.315634252|-0.311337505|-0.296834125,1.7362403|2.0383341|0.940005039|0.654862515|0.693232645|0.770048933,0.377949804|0.528547466|0.54987669,0.0108232368|-0.31032148|-0.0857968479,0.003197689540684223
3,0.2,-0.5155917576738764,0.2192228138446808,0.2812562584877014,0.3325903117656708,0.20565477013587952,0.35,3,0,0,0,1.0056864023208618,5.513939380645752,82.3198013305664,1.0161176919937134,1.0,0.16724000084526686,0,0,0,0,0.17982698809210984,0.0,filtered,0.052169233388873276,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16724000084526686,0.482554194|0.497554194|0.298085329|0.167240001|0.171946882|0.182564688,0.602554194|0.617554194|0.418085329|0.287240001|0.291946882|0.302564688,0.602554194|0.617554194|0.418085329|0.287240001|0.291946882|0.302564688,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0092518233|0.271128463|0.30584556|0.301812662,-0.239048318|0|-0.270171243|-0.31736974|-0.309401045|-0.29261607,1.69116846|1.99021678|0.91291825|0.622718726|0.684232043|0.739455342,0.378490895|0.513031423|0.545586586,0.0108232368|-0.31032148|-0.0857968479,0.002989920787513256
4,0.25,-0.5755170501999283,0.2145083248615265,0.2917506694793701,0.3302864134311676,0.19944028556346893,0.35,3,0,0,0,1.1241317987442017,4.3271484375,54.7966423034668,1.1241317987442017,1.0,0.16480283765322024,0,0,0,0,0.17982698809210984,0.0,passthrough,4.654050193097947e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16480283765322024,0.470680844|0.485680844|0.284234242|0.164802838|0.172049584|0.183482627,0.590680844|0.605680844|0.404234242|0.284802838|0.292049584|0.303482627,0.590680844|0.605680844|0.404234242|0.284802838|0.292049584|0.303482627,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0106840068|0.272715784|0.317669266|0.302346926,-0.235853195|0|-0.269760344|-0.318497601|-0.307516684|-0.28935343,1.64687018|1.94272338|0.877860632|0.613429534|0.698350919|0.746924004,0.379031986|0.49751538|0.541296482,0.0108232368|-0.31032148|-0.0857968479,0.0030321916565299034
5,0.30000000000000004,-0.6506207991827626,0.22120697796344757,0.30519068241119385,0.3287334740161896,0.20448189973831177,0.35,3,0,0,0,1.2217638492584229,3.4797747135162354,54.81464385986328,1.2217638492584229,1.0,0.16238632919255575,0,0,0,0,0.17982698809210984,0.0,passthrough,5.14239101295319e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16238632919255575,0.458971151|0.473971151|0.271456015|0.162386329|0.172759495|0.184535296,0.578971151|0.593971151|0.391456015|0.282386329|0.292759495|0.304535296,0.578971151|0.593971151|0.391456015|0.282386329|0.292759495|0.304535296,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0130439543|0.288981898|0.350235438|0.345460425,-0.232500677|0|-0.269085289|-0.319222066|-0.305605311|-0.28672332,1.60338392|1.8958846|0.829782725|0.619305149|0.735668106|0.796878289,0.379573077|0.481999338|0.537006378,0.0108232368|-0.31032148|-0.0857968479,0.002612115815281868
6,0.35000000000000003,-0.7144382794404376,0.22790643572807312,0.3207656741142273,0.3270696997642517,0.20936955511569977,0.35,3,0,0,0,1.285136103630066,2.0018932819366455,32.45533752441406,1.2851355075836182,1.0,0.16075698682456513,0,0,0,0,0.17982698809210984,0.0,filtered,1.0007000139031224e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.16075698682456513,0.447433183|0.462433183|0.258872831|0.160756987|0.175232706|0.187933954,0.567433183|0.582433183|0.378872831|0.280756987|0.295232706|0.307933954,0.567433183|0.582433183|0.378872831|0.280756987|0.295232706|0.307933954,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0174505091|0.287788883|0.363024136|0.368182867,-0.22898272|0|-0.268793972|-0.319695244|-0.303444453|-0.284017371,1.56075001|1.84973273|0.784147862|0.611121586|0.760510507|0.835901312,0.380114168|0.466483295|0.532716274,0.0108232368|-0.31032148|-0.0857968479,0.0023132413625717163
7,0.4,-0.7321959159616429,0.2389669269323349,0.33562344312667847,0.3229914605617523,0.21845552325248718,0.35,3,0,0,0,1.2802897691726685,2.2426671981811523,52.81806945800781,1.2802897691726685,1.0,0.15905965147763412,0,0,0,0,0.17982698809210984,0.0,passthrough,5.4399816649613855e-12,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.15905965147763412,0.436075419|0.451075419|0.246543977|0.159059651|0.178455854|0.192605104,0.556075419|0.571075419|0.366543977|0.279059651|0.298455854|0.312605104,0.556075419|0.571075419|0.366543977|0.279059651|0.298455854|0.312605104,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0201803651|0.2396047|0.313718663|0.322568125,-0.225291015|0|-0.268723285|-0.319875626|-0.301137843|-0.281198512,1.51901066|1.80430168|0.73763299|0.55596768|0.726404235|0.811790028,0.380655259|0.450967252|0.52842617,0.0108232368|-0.31032148|-0.0857968479,0.0022578006610274315
8,0.45,-0.7122284081406431,0.28594785928726196,0.34590333700180054,0.3148511052131653,0.24620360136032104,0.35,3,0,0,0,1.2611056566238403,4.409332752227783,55.065757751464844,1.2530397176742554,1.0,0.15500314895581924,0,0,0,0,0.17982698809210984,0.0,filtered,0.035708300884554935,0,0,12,joint_0_acceleration_upper,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.15500314895581924,0.42490676|0.43990676|0.234301043|0.155003149|0.179293817|0.195078901,0.54490676|0.55990676|0.354301043|0.275003149|0.299293817|0.315078901,0.54490676|0.55990676|0.354301043|0.275003149|0.299293817|0.315078901,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00200074428|0.155867314|0.220683251|0.236720287,-0.221417018|0|-0.268323135|-0.319672912|-0.298677751|-0.27808017,1.47821002|1.75962704|0.666880294|0.456206998|0.639180767|0.738955719,0.38119635|0.43545121|0.524136066,0.0108232368|-0.31032148|-0.0857968479,0.0032491814345121384
9,0.5,-0.7808707373979593,0.29920703172683716,0.3583490550518036,0.30674782395362854,0.24755056202411652,0.35,3,0,0,0,1.2916179895401,2.8507723808288574,107.98663330078125,1.2916173934936523,1.0,0.14691556209493611,0,0,0,0,0.17982698809210984,0.0,filtered,1.1046111782864046e-06,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.14691556209493611,0.413936538|0.428936538|0.22093257|0.146915562|0.17570318|0.193481596,0.533936538|0.548936538|0.34093257|0.266915562|0.29570318|0.313481596,0.533936538|0.548936538|0.34093257|0.266915562|0.29570318|0.313481596,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0215332894|0.158524935|0.216967991|0.222482758,-0.217351983|0|-0.267811876|-0.319257729|-0.295543427|-0.273515335,1.43839417|1.71574615|0.637451694|0.426929454|0.624237282|0.722893805,0.381737441|0.419935167|0.519845963,0.0108232368|-0.31032148|-0.0857968479,0.0030170362442731857
