episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s
0,-37.14221178663179,20.968400418758392,28,0,1,1,0.5252480506896973,1.4000000000000001,0.12430160492658615,0.3975242961730276,0.824843168258667,0,0.0,0.5,0.01767666052324884,0.0,0.0,0.0,0.0,1.0,0.10714285714285714,-0.033392500871826214,0.017302382438044463,0.19637986580242536,1.7525522708892822,37.52684783935547,1,0,3,0.15000000000000002
1,8.202657647756043,11.855400808155537,79,1,0,0,0.0540456660091877,3.95,0.2407279908657074,0.14413725009447412,0.3604888319969177,0,0.0,0.6708860759493671,0.0033127396309798576,0.0,0.0,0.0,0.0,1.0,0.0,0.1207280118239405,0.0058526204002997545,0.15826321666753745,1.451413631439209,36.5479736328125,0,0,0,0.0
2,-56.30370217574658,38.66964645124972,110,0,1,1,0.13155095279216766,5.5,0.15594209730625153,0.26029230178418483,0.6267772912979126,0,0.0,0.7545454545454545,0.043677043832742166,0.0,0.0,0.0,0.0,1.0,0.0,0.023402973832235108,0.0065970435907894915,0.14419200301847673,1.3419791460037231,23.73089599609375,0,0,0,0.0
3,-89.083930762123,49.82152646034956,234,1,0,0,0.05366743728518486,11.700000000000001,0.1610596626996994,0.20325779696751353,0.44143134355545044,0,0.0,0.5341880341880342,0.03066329996148058,0.0,0.0,0.0,0.0,0.9829059829059829,0.0,0.041059648473883936,0.005924570891592238,0.08815339771218789,0.8494371771812439,17.215229034423828,0,0,0,0.0
4,-8.038252599634315,23.036381425336003,124,1,0,0,0.04343529790639877,6.2,0.2077082246541977,0.1777353827210684,0.36573609709739685,0,0.0,0.5967741935483871,0.038159856933491255,0.0,0.0,0.0,0.0,1.0,0.0,0.08770820397054374,0.0059436365676623195,0.12442029619799747,1.245055079460144,29.290359497070312,0,0,0,0.0
5,3.6522867681438207,17.37622555345297,78,1,0,0,0.05000146105885506,3.9000000000000004,0.18235813081264496,0.2193651553721,0.49020206928253174,0,0.0,0.7307692307692307,0.026747688488936286,0.0,0.0,0.0,0.0,0.9102564102564102,0.0,0.06411175425458199,0.005715726994169064,0.1647904775559138,1.5475242137908936,43.24048614501953,0,0,0,0.0
6,-56.05392244805197,41.64119356498122,240,0,0,0,0.2316429316997528,12.0,0.170186847448349,0.16514784935085725,0.5377340316772461,0,0.0,0.5,0.00511775648480236,0.0,0.0,0.0,0.0,1.0,0.0,0.050186863120586345,0.0042393538247173035,0.16521606861691301,1.5012906789779663,39.142784118652344,0,0,0,0.0
7,-25.897874920591004,21.596913451328874,240,0,0,0,0.09140387177467346,12.0,0.2649856209754944,0.0868238131981343,0.23115459084510803,0,0.0,0.36666666666666664,0.0013431790361931257,0.0,0.0,0.0,0.0,1.0,0.0,0.12261504027515774,0.004275400373929491,0.05957407794194296,0.6611560583114624,12.080913543701172,0,0,0,0.0
8,-78.14696689239749,58.66612035036087,42,0,1,1,0.6075600981712341,2.1,0.10084835439920425,0.5140171898972421,0.8350268006324768,9,0.21428571428571427,0.9761904761904762,0.16533237689006297,0.0,0.0,0.0,0.0,0.9523809523809523,0.30952380952380953,-0.055296018375110056,0.004101577214896679,0.14709794935992077,1.4447057247161865,23.418458938598633,1,0,13,0.65
9,18.499089470728343,3.9497708529233932,58,1,0,0,0.05137627571821213,2.9000000000000004,0.39000028371810913,0.06546225180399828,0.12926363945007324,0,0.0,0.7758620689655172,0.0005231637261088697,0.0,0.0,0.0,0.0,1.0,0.0,0.25746006545798555,0.004773305969890849,0.06261531989379175,0.7508366107940674,20.774660110473633,0,0,0,0.0
