step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_rejection_counts,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-3.070153829238884,0.3807106614112854,0.8852174282073975,0.21860940754413605,0.24070796370506287,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.04853739216923714,0.9707478284835815,19.41495704650879,0.0,0.0,0.8863287267104584,0.8852174282073975,0.001111298503060909,0.0,0.033185928931612145,0.0,0.022258635503355315,-0.022258635503355315,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,0.0,not_enabled,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.043630423196683255,0,0,0,0,0.043630423196683255,0.0,filtered,osqp optimal,0.04853739188542182,0,0,12,,workspace_z_lower,,,0,0,1,solved,osqp,1.465743644235573e-07,valid,0.043630423196683255,0.9203323844684604,0|0|0|0|0|0,,,,,,,,,,0.17661543004214764,0.002519869012758136,0.0013539690990000963,0.16807328595314175
1,0.1,-2.8886672936932714,0.3574708104133606,0.8801034688949585,0.22138626873493195,0.22973938286304474,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.20782551169395447,4.087893962860107,84.92322540283203,0.3499999940395355,0.0,0.8852174307444575,0.8801034688949585,0.005113961849498971,0.22447594118721934,0.11938389522148861,-0.027563562266558175,0.10474840267015284,-0.13231196493671102,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.03947562274174557,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,,0.31376790616938105,0,1,12,workspace_z_lower|joint_0_acceleration_lower,workspace_z_lower,,,2,0,0,inaccurate_solution,,0.0,valid,0.03947562274174557,0.9204422001991057,0|0.0175129037|0.0306936703|0.0332453451|0.0369699237|0.0332012098,,,,,,,,,,0.01294358295854181,0.0032027430133894086,0.001697132014669478,0.0022078329930081964
2,0.15000000000000002,-2.820430412277011,0.3474891185760498,0.8745843172073364,0.22490645945072174,0.22352968156337738,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.2290802150964737,0.48179394006729126,72.55702209472656,0.3499999940395355,0.0,0.8801034465999351,0.8745843172073364,0.005519129392598687,0.2241809221561737,0.13085539546108974,-0.02656452679417377,0.11053870184637511,-0.13710322864054889,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,0.8964797471794764,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.04538822332846759,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,,0.30452523881506854,0,1,12,workspace_z_lower,workspace_z_lower,,,2,0,0,inaccurate_solution,,0.0,valid,0.04538822332846759,0.919960948914337,0|0.0491344904|0.109789574|0.118442568|0.130949522|0.119309216,,,,,,,,,,0.025719939963892102,0.00955421500839293,0.0019780839793384075,0.004317532991990447
3,0.2,-2.7596043149366736,0.33717456459999084,0.8690474629402161,0.22868938744068146,0.21705645322799683,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.22792881727218628,0.9080069661140442,21.317378997802734,0.3499999940395355,0.0,0.874584343020959,0.8690474629402161,0.005536880080742934,0.2235729857448717,0.1349439186943511,-0.023988327551883053,0.11084213277251762,-0.13483046032440066,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,0.8700721257174359,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.04893705657980796,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,osqp optimal,0.29158684683620284,0,0,12,,workspace_z_lower,,,0,0,1,solved,osqp,9.75228950352014e-07,valid,0.04893705657980796,0.9193881742222133,0|0.0525813478|0.120337224|0.129913735|0.143568718|0.130752383,,,,,,,,,,0.012277374975383282,0.002625702996738255,0.0015790440374985337,0.002313553006388247
4,0.25,-2.698326309220266,0.3265073597431183,0.8635412454605103,0.23273150622844696,0.2103615552186966,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.23178890347480774,0.13489475846290588,17.431978225708008,0.3499999940395355,0.0,0.8690474660570574,0.8635412454605103,0.005506220596547151,0.22314979440040272,0.137165361594923,-0.02136303733471974,0.11023214261322699,-0.13159517994794673,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,0.8331052908625638,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.05271793965830118,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,osqp optimal,0.2828301325354171,0,0,12,,workspace_z_lower,,,0,0,1,solved,osqp,9.558239821797626e-07,valid,0.05271793965830118,0.9194289395711118,0|0.0496610291|0.122921462|0.133156996|0.147250169|0.134979979,,,,,,,,,,0.015118030947633088,0.0039933850057423115,0.002267302945256233,0.0027356049977242947
5,0.30000000000000004,-2.635974568354578,0.31560075283050537,0.8580459356307983,0.237010195851326,0.20351628959178925,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.2359192967414856,0.12160027027130127,0.4010966420173645,0.3499999940395355,0.0,0.8635412533864991,0.8580459356307983,0.005495317755700779,0.22269463701759012,0.13958897842206525,-0.01867825645022737,0.11003815874633834,-0.1287164151965657,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,0.808086106719959,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.05675760899415405,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,osqp optimal,0.2748616665661962,0,0,12,,workspace_z_lower,,,0,0,1,solved,osqp,9.441299955257471e-07,valid,0.05675760899415405,0.9194777821373753,0|0.0501802779|0.124763157|0.135426916|0.149672321|0.137202269,,,,,,,,,,0.011641451041214168,0.0027172149857506156,0.0012783269630745053,0.001842913101427257
6,0.35000000000000003,-2.5727079815109946,0.30453914403915405,0.8525403738021851,0.24151133000850677,0.19657376408576965,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.24047482013702393,0.11577321588993073,0.35887566208839417,0.3499999940395355,0.0,0.858045925985904,0.8525403738021851,0.005505552183718954,0.2221783439047961,0.1422825679630797,-0.01573208870310941,0.1102669994615976,-0.125999088164707,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,0.7853190607058931,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.06103352921317437,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,osqp optimal,0.26726475573191244,0,0,12,,workspace_z_lower,,,0,0,1,solved,osqp,9.335592780386481e-07,valid,0.06103352921317437,0.9195333311992497,6.58245711e-18|0.0508644688|0.126705856|0.137879498|0.15231037|0.139626418,,,,,,,,,,0.012420893996022642,0.003174619982019067,0.001694709062576294,0.0019155440386384726
7,0.4,-2.508371481542047,0.29335692524909973,0.8469930291175842,0.24623943865299225,0.18955622613430023,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.24613098800182343,0.12657491862773895,0.5657393336296082,0.3499999940395355,0.0,0.8525403879916952,0.8469930291175842,0.0055473588741109525,0.22149931279020296,0.14560928604228696,-0.011874415908977668,0.1111364724199597,-0.12301088832893738,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,0.7636136008097263,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.06553164939607542,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,osqp optimal,0.25912972937214485,0,0,12,,workspace_z_lower,,,0,0,1,solved,osqp,9.265459962265812e-07,valid,0.06553164939607542,0.9195936217277598,0|0.0517138697|0.128816678|0.140586845|0.155241843|0.142320432,,,,,,,,,,0.011509574018418789,0.00267220102250576,0.0012260079383850098,0.0018528449581936002
8,0.45,-2.4424351623951406,0.28203585743904114,0.8413558006286621,0.2512224614620209,0.18245357275009155,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.253855437040329,0.16367457807064056,1.0026012659072876,0.3499999940395355,0.0,0.8469929904565112,0.8413558006286621,0.0056371898278491095,0.22049852776543763,0.15009415799698203,-0.006138471159828655,0.1129719821118304,-0.11911045327165906,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,0.7403706679574226,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.07025692770975717,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,osqp optimal,0.24913110447179435,0,0,12,,workspace_z_lower,,,0,0,1,solved,osqp,9.182149549461296e-07,valid,0.07025692770975717,0.9196497685368065,1.36753434e-17|0.0528534344|0.131430469|0.143917479|0.158872321|0.145645919,,,,,,,,,,0.013193179969675839,0.002951103961095214,0.0021569239906966686,0.0023998679826036096
9,0.5,-2.378465542561963,0.27083489298820496,0.8357065916061401,0.2563657760620117,0.17542530596256256,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.2574727237224579,0.08476477116346359,1.9785746335983276,0.3499999940395355,0.0,0.8413557962704201,0.8357065916061401,0.005649204664279983,0.22007500565480018,0.15231511466556316,-0.00407512463435331,0.1132426615991482,-0.1173177862335015,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.8025736060226336,0.8025736060226336,0,0,0,0,-1,nan,nan,,,256,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'invalid_state': 0}",nan,nan,0.7118031677556338,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.07523830180722002,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,osqp optimal,0.2435806746254479,0,0,12,,workspace_z_lower,,,0,0,1,solved,osqp,9.227213401130641e-07,valid,0.07523830180722002,0.9196834033290623,0|0.05447322|0.135019665|0.148400387|0.163785497|0.150124231,,,,,,,,,,0.011998089961707592,0.002988634048961103,0.0013450119877234101,0.0019773810636252165
